id,run_id,pipeline_name,batch_id,log_date,log_hour,error_request_count,total_request_count,error_rate,distinct_error_hosts
266108,16,hive,1,1995-07-02,19,1,50,2.00,1
266109,16,hive,1,1995-07-02,20,0,37,0.00,0
266110,16,hive,1,1995-07-02,21,0,169,0.00,0
266111,16,hive,1,1995-07-02,22,0,74,0.00,0
266112,16,hive,1,1995-07-02,23,2,199,1.01,1
266113,16,hive,1,1995-07-03,0,0,46,0.00,0
266114,16,hive,1,1995-07-03,1,0,95,0.00,0
266115,16,hive,1,1995-07-03,2,0,115,0.00,0
266116,16,hive,1,1995-07-03,3,0,123,0.00,0
266117,16,hive,1,1995-07-03,4,2,106,1.89,2
266118,16,hive,1,1995-07-03,5,0,163,0.00,0
266119,16,hive,1,1995-07-03,6,2,213,0.94,1
266120,16,hive,1,1995-07-03,7,4,428,0.93,2
266121,16,hive,1,1995-07-03,8,1,696,0.14,1
266203,16,hive,1,1995-07-06,18,2,507,0.39,2
266204,16,hive,1,1995-07-06,19,2,295,0.68,2
266205,16,hive,1,1995-07-06,20,2,345,0.58,2
266206,16,hive,1,1995-07-06,21,1,146,0.68,1
266207,16,hive,1,1995-07-06,22,0,137,0.00,0
266208,16,hive,1,1995-07-06,23,7,364,1.92,2
266209,16,hive,1,1995-07-07,0,0,34,0.00,0
266210,16,hive,1,1995-07-07,1,0,140,0.00,0
266211,16,hive,1,1995-07-07,2,0,79,0.00,0
266212,16,hive,1,1995-07-07,3,0,199,0.00,0
266213,16,hive,1,1995-07-07,4,0,75,0.00,0
266214,16,hive,1,1995-07-07,5,0,136,0.00,0
266215,16,hive,1,1995-07-07,6,0,91,0.00,0
266216,16,hive,1,1995-07-07,7,0,384,0.00,0
266217,16,hive,1,1995-07-07,8,6,923,0.65,3
266218,16,hive,1,1995-07-07,9,9,1306,0.69,6
266219,16,hive,1,1995-07-07,10,6,1323,0.45,6
266220,16,hive,1,1995-07-07,11,8,1536,0.52,4
266221,16,hive,1,1995-07-07,12,5,1360,0.37,3
266222,16,hive,1,1995-07-07,13,11,1246,0.88,7
266223,16,hive,1,1995-07-07,14,5,1027,0.49,4
266224,16,hive,1,1995-07-07,15,11,1237,0.89,5
266225,16,hive,1,1995-07-07,16,7,1058,0.66,3
266226,16,hive,1,1995-07-07,17,2,812,0.25,2
266227,16,hive,1,1995-07-07,18,0,486,0.00,0
266228,16,hive,1,1995-07-07,19,0,242,0.00,0
266229,16,hive,1,1995-07-07,20,0,120,0.00,0
266230,16,hive,1,1995-07-07,21,0,70,0.00,0
266231,16,hive,1,1995-07-07,22,0,95,0.00,0
266232,16,hive,1,1995-07-07,23,0,30,0.00,0
266233,16,hive,1,1995-07-08,0,0,54,0.00,0
266234,16,hive,1,1995-07-08,1,0,140,0.00,0
266235,16,hive,1,1995-07-08,2,0,71,0.00,0
266236,16,hive,1,1995-07-08,3,0,1,0.00,0
266237,16,hive,1,1995-07-08,4,0,3,0.00,0
266238,16,hive,1,1995-07-08,5,0,22,0.00,0
266239,16,hive,1,1995-07-08,6,0,10,0.00,0
266240,16,hive,1,1995-07-08,8,0,25,0.00,0
266241,16,hive,1,1995-07-08,9,0,82,0.00,0
266242,16,hive,1,1995-07-08,10,0,189,0.00,0
266243,16,hive,1,1995-07-08,11,0,265,0.00,0
266244,16,hive,1,1995-07-08,12,0,83,0.00,0
266245,16,hive,1,1995-07-08,13,0,107,0.00,0
266122,16,hive,1,1995-07-03,9,29,753,3.85,3
266123,16,hive,1,1995-07-03,10,58,809,7.17,5
266124,16,hive,1,1995-07-03,11,0,679,0.00,0
266125,16,hive,1,1995-07-03,12,4,860,0.47,4
266126,16,hive,1,1995-07-03,13,1,1055,0.09,1
266127,16,hive,1,1995-07-03,14,7,944,0.74,3
266128,16,hive,1,1995-07-03,15,5,840,0.60,2
266129,16,hive,1,1995-07-03,16,15,1057,1.42,2
266130,16,hive,1,1995-07-03,17,2,730,0.27,2
266131,16,hive,1,1995-07-03,18,2,400,0.50,1
266132,16,hive,1,1995-07-03,19,0,218,0.00,0
266133,16,hive,1,1995-07-03,20,2,373,0.54,2
266134,16,hive,1,1995-07-03,21,0,232,0.00,0
266135,16,hive,1,1995-07-03,22,0,136,0.00,0
266136,16,hive,1,1995-07-03,23,0,73,0.00,0
266137,16,hive,1,1995-07-04,0,0,40,0.00,0
266138,16,hive,1,1995-07-04,1,6,178,3.37,2
266139,16,hive,1,1995-07-04,2,1,276,0.36,1
266140,16,hive,1,1995-07-04,3,0,171,0.00,0
266141,16,hive,1,1995-07-04,4,0,91,0.00,0
266142,16,hive,1,1995-07-04,5,0,198,0.00,0
266143,16,hive,1,1995-07-04,6,1,140,0.71,1
266144,16,hive,1,1995-07-04,7,0,179,0.00,0
266145,16,hive,1,1995-07-04,8,2,279,0.72,2
266146,16,hive,1,1995-07-04,9,0,248,0.00,0
266147,16,hive,1,1995-07-04,10,0,453,0.00,0
266148,16,hive,1,1995-07-04,11,5,331,1.51,3
266149,16,hive,1,1995-07-04,12,1,350,0.29,1
266150,16,hive,1,1995-07-04,13,2,212,0.94,2
266151,16,hive,1,1995-07-04,14,2,119,1.68,1
266152,16,hive,1,1995-07-04,15,6,312,1.92,3
266153,16,hive,1,1995-07-04,16,2,249,0.80,2
266154,16,hive,1,1995-07-04,17,1,193,0.52,1
266155,16,hive,1,1995-07-04,18,0,82,0.00,0
266156,16,hive,1,1995-07-04,19,0,81,0.00,0
266157,16,hive,1,1995-07-04,20,0,131,0.00,0
266158,16,hive,1,1995-07-04,21,0,87,0.00,0
266159,16,hive,1,1995-07-04,22,0,106,0.00,0
266160,16,hive,1,1995-07-04,23,2,175,1.14,1
266161,16,hive,1,1995-07-05,0,0,67,0.00,0
266162,16,hive,1,1995-07-05,1,1,104,0.96,1
266163,16,hive,1,1995-07-05,2,0,148,0.00,0
266164,16,hive,1,1995-07-05,3,2,344,0.58,1
266165,16,hive,1,1995-07-05,4,0,147,0.00,0
266166,16,hive,1,1995-07-05,5,0,218,0.00,0
266246,16,hive,1,1995-07-08,14,0,178,0.00,0
266247,16,hive,1,1995-07-08,15,1,89,1.12,1
266294,16,hive,1,1995-07-10,16,2,1161,0.17,1
266295,16,hive,1,1995-07-10,17,8,730,1.10,6
266296,16,hive,1,1995-07-10,18,0,537,0.00,0
266297,16,hive,1,1995-07-10,19,0,252,0.00,0
266298,16,hive,1,1995-07-10,20,0,119,0.00,0
266299,16,hive,1,1995-07-10,21,0,200,0.00,0
266300,16,hive,1,1995-07-10,22,0,248,0.00,0
266301,16,hive,1,1995-07-10,23,0,68,0.00,0
266302,16,hive,1,1995-07-11,0,2,78,2.56,1
266303,16,hive,1,1995-07-11,1,0,17,0.00,0
266304,16,hive,1,1995-07-11,2,0,12,0.00,0
266305,16,hive,1,1995-07-11,3,1,31,3.23,1
266306,16,hive,1,1995-07-11,4,0,98,0.00,0
266307,16,hive,1,1995-07-11,5,0,83,0.00,0
266308,16,hive,1,1995-07-11,6,0,169,0.00,0
266309,16,hive,1,1995-07-11,7,2,477,0.42,1
266310,16,hive,1,1995-07-11,8,1,690,0.14,1
266311,16,hive,1,1995-07-11,9,3,672,0.45,2
266312,16,hive,1,1995-07-11,10,3,1090,0.28,1
266313,16,hive,1,1995-07-11,11,2,1083,0.18,1
266314,16,hive,1,1995-07-11,12,6,1441,0.42,3
266315,16,hive,1,1995-07-11,13,4,1157,0.35,3
266316,16,hive,1,1995-07-11,14,14,1209,1.16,2
266329,16,hive,1,1995-07-12,3,0,64,0.00,0
266317,16,hive,1,1995-07-11,15,1,1214,0.08,1
